Date,Time,Source MAC,Source IP,Source Port,Dest MAC,Dest IP,Dest Port,Protocol,Good packet,Allowed
10/21/13,16:00:53,,0.0.0.0,,,169.254.223.208,,arp,1,1
10/21/13,16:00:54,,0.0.0.0,68,,255.255.255.255,67,udp,1,1
10/21/13,16:00:54,,10.0.2.2,67,,10.0.2.15,68,udp,1,1
10/21/13,16:00:58,,10.0.2.15,,,10.0.2.2,,arp,1,1
10/21/13,16:00:59,,0.0.0.0,,,10.0.2.15,,arp,1,1
10/21/13,16:01:02,,10.0.2.15,68,,255.255.255.255,67,udp,1,1
10/21/13,16:01:02,,10.0.2.2,67,,10.0.2.15,68,udp,1,1
10/21/13,16:01:02,,10.0.2.15,51896,,192.168.33.254,53,udp,1,1
10/21/13,16:01:02,,10.0.2.15,64922,,224.0.0.252,5355,udp,1,1
10/21/13,16:01:02,,10.0.2.15,137,,10.0.2.255,137,udp,1,1
10/21/13,16:01:04,,10.0.2.15,58640,,192.168.33.254,53,udp,1,1
10/21/13,16:01:04,,10.0.2.15,61815,,192.168.33.254,53,udp,1,1
10/21/13,16:01:05,,10.0.2.15,49157,,95.101.72.202,80,tcp,1,1
10/21/13,16:04:34,,10.0.2.15,,,10.0.2.2,,arp,1,1
10/21/13,16:04:34,,10.0.2.15,62169,,192.168.33.254,53,udp,1,1
10/21/13,16:04:34,,10.0.2.15,49162,,52.222.174.104,80,tcp,1,1
10/21/13,16:04:34,,10.0.2.15,62183,,192.168.33.254,53,udp,1,1
10/21/13,16:04:34,,10.0.2.15,57988,,192.168.33.254,53,udp,1,1
10/21/13,16:04:34,,10.0.2.15,57427,,192.168.33.254,53,udp,1,1
10/21/13,16:04:36,,10.0.2.15,59123,,192.168.33.254,53,udp,1,1
10/21/13,16:04:36,,10.0.2.15,58295,,192.168.33.254,53,udp,1,1
10/21/13,16:04:36,,10.0.2.15,53825,,192.168.33.254,53,udp,1,1
10/21/13,16:04:40,,10.0.2.15,53659,,192.168.33.254,53,udp,1,1
10/21/13,16:04:40,,10.0.2.15,49163,,52.39.237.157,443,tcp,1,1
10/21/13,16:04:40,,10.0.2.15,52583,,192.168.33.254,53,udp,1,1
10/21/13,16:04:40,,10.0.2.15,55873,,192.168.33.254,53,udp,1,1
10/21/13,16:04:40,,10.0.2.15,60301,,192.168.33.254,53,udp,1,1
10/21/13,16:04:40,,10.0.2.15,52409,,192.168.33.254,53,udp,1,1
10/21/13,16:04:40,,10.0.2.15,54894,,192.168.33.254,53,udp,1,1
10/21/13,16:04:40,,10.0.2.15,59944,,192.168.33.254,53,udp,1,1
10/21/13,16:04:40,,10.0.2.15,58452,,192.168.33.254,53,udp,1,1
10/21/13,16:04:41,,10.0.2.15,49164,,93.184.220.29,80,tcp,1,1
10/21/13,16:04:41,,10.0.2.15,62352,,192.168.33.254,53,udp,1,1
10/21/13,16:04:41,,10.0.2.15,51314,,192.168.33.254,53,udp,1,1
10/21/13,16:04:41,,10.0.2.15,62414,,192.168.33.254,53,udp,1,1
10/21/13,16:04:41,,10.0.2.15,49165,,52.222.171.185,443,tcp,1,1
10/21/13,16:04:43,,10.0.2.15,49166,,52.222.171.185,443,tcp,1,1
10/21/13,16:04:44,,10.0.2.15,49162,,52.222.174.104,80,tcp,1,1
10/21/13,16:04:46,,10.0.2.15,49688,,192.168.33.254,53,udp,1,1
10/21/13,16:04:46,,10.0.2.15,56149,,192.168.33.254,53,udp,1,1
10/21/13,16:04:46,,10.0.2.15,49167,,216.58.207.78,80,tcp,1,1
10/21/13,16:04:46,,10.0.2.15,64872,,192.168.33.254,53,udp,1,1
10/21/13,16:04:46,,10.0.2.15,51446,,192.168.33.254,53,udp,1,1
10/21/13,16:04:46,,10.0.2.15,59407,,192.168.33.254,53,udp,1,1
10/21/13,16:04:46,,10.0.2.15,51554,,192.168.33.254,53,udp,1,1
10/21/13,16:04:46,,10.0.2.15,60399,,192.168.33.254,53,udp,1,1
10/21/13,16:04:46,,10.0.2.15,56613,,192.168.33.254,53,udp,1,1
10/21/13,16:04:46,,10.0.2.15,49168,,216.58.207.78,443,tcp,1,1
10/21/13,16:04:46,,10.0.2.15,64931,,192.168.33.254,53,udp,1,1
10/21/13,16:04:46,,10.0.2.15,49165,,52.222.171.185,443,tcp,1,1
10/21/13,16:04:46,,10.0.2.15,49169,,216.58.207.78,80,tcp,1,1
10/21/13,16:04:46,,10.0.2.15,49803,,192.168.33.254,53,udp,1,1
10/21/13,16:04:46,,10.0.2.15,49170,,216.58.207.78,443,tcp,1,1
10/21/13,16:04:46,,10.0.2.15,49261,,192.168.33.254,53,udp,1,1
10/21/13,16:04:46,,10.0.2.15,49171,,216.58.207.78,80,tcp,1,1
10/21/13,16:04:46,,10.0.2.15,56056,,192.168.33.254,53,udp,1,1
10/21/13,16:04:47,,10.0.2.15,50716,,192.168.33.254,53,udp,1,1
10/21/13,16:04:47,,10.0.2.15,49172,,216.58.207.67,443,tcp,1,1
10/21/13,16:04:47,,10.0.2.15,49173,,216.58.207.67,443,tcp,1,1
10/21/13,16:04:47,,10.0.2.15,57293,,192.168.33.254,53,udp,1,1
10/21/13,16:04:47,,10.0.2.15,49407,,192.168.33.254,53,udp,1,1
