MAC Address,IP Address,Device class,Device identification,Softwarer identification,Software version,Open ports,Communication ranges and Protocols,Vendor,Device Information,User Text
60-A4-4C-8E-21-38,192.168.100.1,general_purpose,router.asus.com,,,"53,1723,3394,5473,9998,18017,48946","53,18017,48946",ASUSTek COMPUTER INC.,Your Router,MACBOOKPRO-1121
30-05-5C-48-87-49,192.168.100.10,general_purpose,printer,,,"23,25,443,515,631,9100,54921,54922,54923","23,25,443,515,54921,54922,54923","Brother industries, LTD.",,BRN30055C488749
34-08-BC-51-2C-99,192.168.100.100,,,,,,,,,
28-F0-76-0E-99-40,192.168.100.110,general_purpose,laptop,,,"17500,49168,57621,63732",17500,"Apple, Inc.",,ZHUPINGS-IMAC
C0-18-85-BB-DA-D9,192.168.100.117,general_purpose,laptop,,,,,"Hon Hai Precision Ind. Co.,Ltd.",,sayan-Inspiron-5520
94-65-2D-C6-AA-72,192.168.100.119,,,,,,,"OnePlus Technology (Shenzhen) Co., Ltd",,OnePlus_5T
C0-A5-3E-0E-4E-20,192.168.100.123,general_purpose,cellphones,,,,,"Apple, Inc.",,yinguohdeiPhone
8C-79-67-ED-29-1C,192.168.100.135,general_purpose,phone,,,,,zte corporation,,android-18ed343e9b984318
64-CC-2E-12-45-F7,192.168.100.137,general_purpose,cellphones,,,,,Xiaomi Communications Co Ltd,,Compy-386
A4-5E-60-C8-DC-F3,192.168.100.141,general_purpose,laptop,,,"22,53979,56672",22,"Apple, Inc.",,MANALS-MBP
D0-50-99-6C-30-AF,192.168.100.145,,,,,"135,902,912,2179,3389,5357,7680,27036,53538,57621","135,902,912,3389,5357,27036",ASRock Incorporation,,Compy-386
B8-E8-56-2B-9F-94,192.168.100.147,general_purpose,laptop,,,"17500,20559,51795","17500,20559,51795","Apple, Inc.",,MACBOOKPRO-9F94
4C-66-41-22-BC-F9,192.168.100.155,general_purpose,cellphones,,,,,SAMSUNG ELECTRO-MECHANICS(THAILAND),,Samsung-Galaxy-S7-edge
94-65-2D-C6-4C-40,192.168.100.162,general_purpose,laptop,,,,,"OnePlus Technology (Shenzhen) Co., Ltd",,MACBOOKPRO-9F94
F4-5C-89-A8-59-2D,192.168.100.171,,,,,,,,,
7C-04-D0-BB-70-7E,192.168.100.187,,,,,,,"Apple, Inc.",,Jibiaos-Air
F8-28-19-B5-20-FD,192.168.100.193,,,,,"443,903,913,1947,5357,7680,58081,58082","443,903,913,1947,5357,58081,58082",,,
F8-28-19-B5-20-FD,192.168.100.193,general_purpose,laptop,,,,,Liteon Technology Corporation,,LAPTOP-V1U0S4R1
D0-7E-35-98-C5-6F,192.168.100.197,general_purpose,laptop,,,,,Intel Corporate,,DIPTI
60-A4-4C-8D-2A-D0,192.168.100.2,,,,,"3394,5473,9998,18017",18017,ASUSTek COMPUTER INC.,,
3C-FA-43-A2-C5-38,192.168.100.200,,,,,,,"HUAWEI TECHNOLOGIES CO.,LTD",,DIPTI
4C-32-75-93-B6-0F,192.168.100.206,,,,,"88,3283,5900,52096",88,"Apple, Inc.",,BOS-MPVH2
4C-0B-BE-22-19-96,192.168.100.207,general_purpose,desktop,,,,,Microsoft,,DESKTOP-VDP1E0R
DC-A4-CA-0E-29-6C,192.168.100.212,,,,,,,,,
D0-2B-20-76-10-04,192.168.100.222,,,,,,,,,
08-D4-0C-A9-41-01,192.168.100.226,,,,,"465,995,1195,1650,2968,4443,5433,6000,8081,9008,9930,10850","465,995,1195,1650,4443,8081,9008,9930",,,
08-D4-0C-A9-41-01,192.168.100.226,general_purpose,laptop,,,,,Intel Corporate,,LAPTOP-0ERA3COA
5C-C5-D4-13-BF-41,192.168.100.229,general_purpose,laptop,,,"135,139,445,1541,3306,7070","135,139,445,7070",Intel Corporate,Your Computer,HariniS-PC
A4-5E-60-DB-11-21,192.168.100.233,general_purpose,laptop,,,"3306,49986",3306,"Apple, Inc.",,MACBOOKPRO-1121
98-01-A7-CD-9E-49,192.168.100.235,,,,,,,,,
9C-B6-D0-1C-B9-A9,192.168.100.236,general_purpose,laptop,,,"7070,42049,44491",7070,Rivet Networks,,DESKTOP-VDP1E0R
98-54-1B-2F-88-25,192.168.100.237,general_purpose,laptop,,,"22,135,139,445,5357,6646,49664,49665,49666,49667,49668,49676","22,135,139,445,5357",Intel Corporate,,WINDOWS-VLT51C6
8C-85-90-53-32-ED,192.168.100.238,general_purpose,laptop,,,"22,3306,49661,49671,57621","22,3306","Apple, Inc.",,MACBOOKPRO-32ED
8C-85-90-81-7A-53,192.168.100.241,general_purpose,laptop,,,49553,49553,"Apple, Inc.",,MACBOOKPRO-7A53
C0-EE-FB-52-E6-B5,192.168.100.254,,,,,,,OnePlus Tech (Shenzhen) Ltd,,WINDOWS-VLT51C6
28-10-7B-0B-7A-B0,192.168.100.5,,,,,"443,554,8081,49152","443,8081,49152",D-Link International,,
8C-85-90-0C-DE-AC,192.168.100.55,general_purpose,laptop,,,"5091,50707,61728",5091,,,
84-89-AD-2A-44-32,192.168.100.56,,,,,,,,,
3C-F8-62-C0-EE-B9,192.168.100.62,general_purpose,laptop,,,"139,445,6646","139,445",Intel Corporate,,Rahul
54-13-79-5D-3A-D5,192.168.100.65,general_purpose,desktop,,,"135,6646",135,"Hon Hai Precision Ind. Co.,Ltd.",,DESKTOP-QEJRUTP
C0-EE-FB-53-41-1B,192.168.100.68,,,,,,,OnePlus Tech (Shenzhen) Ltd,,android-288036e53b6c0b1f
9C-B6-D0-F3-8B-6B,192.168.100.69,general_purpose,desktop,,,"22,135,139,445,2179,5357,6646,7680,49664,49665,49666,49667,49668,49692,49755","22,135,139,445,5357",,,
F4-0F-24-1E-C0-AE,192.168.100.70,,,,,22,22,"Apple, Inc.",,MDEMETER
3C-F8-62-B9-28-1E,192.168.100.71,general_purpose,laptop,,,"443,6646,7680",443,Intel Corporate,,MACBOOKPRO-DEAC
3C-2A-F4-11-3A-99,192.168.100.8,general_purpose,printer,,,"443,515,631,9100","443,515,631","Brother Industries, LTD.",,BRN3C2AF4113A99
F8-27-93-7A-3D-DA,192.168.100.81,,,,,,,,,
FA-28-C8-83-99-DA,192.168.100.82,general_purpose,laptop,,,"135,139,445,3306,5432,49664,49665,49666,49667,49670,49704","135,139,3306,5432",,,VAR-PREDATOR
BC-A8-A6-C0-AF-8F,192.168.100.91,,,,,,,Intel Corporate,,
