MAC Address	IP Address	Device class	Device identification	Softwarer identification	Software version	Open ports	Communication ranges and Protocols	Vendor	Device Information	User Text
60A44C8E2138	192.168.100.1	general_purpose	router.asus.com			"5,317,233,394,547,390,000,000,000,000"	"531,801,748,946"	ASUSTek COMPUTER INC.	Your Router	MACBOOKPRO1121
30055C488749	192.168.100.10	home_appliances	printer			"23,25,443,515,631,9100,54921,54922,54923"	"23,25,443,515,54921,54922,54923"	"Brother industries, LTD."		BRN30055C488749
3408BC512C99	192.168.100.100									
28F0760E9940	192.168.100.110	general_purpose	laptop			"17,500,491,685,762,100,000"	17500	"Apple, Inc."		ZHUPINGSIMAC
C01885BBDAD9	192.168.100.117	general_purpose	laptop					"Hon Hai Precision Ind. Co.,Ltd."		sayanInspiron5520
94652DC6AA72	192.168.100.119							"OnePlus Technology (Shenzhen) Co., Ltd"		OnePlus_5T
C0A53E0E4E20	192.168.100.123	general_purpose	cellphones					"Apple, Inc."		yinguohdeiPhone
8C7967ED291C	192.168.100.135	general_purpose	phone					zte corporation		android18ed343e9b984318
64CC2E1245F7	192.168.100.137	general_purpose	cellphones					Xiaomi Communications Co Ltd		Compy386
A45E60C8DCF3	192.168.100.141	general_purpose	laptop			"225,397,956,672"	22	"Apple, Inc."		MANALSMBP
D050996C30AF	192.168.100.145					"1,359,029,122,179,330,000,000,000,000,000,000,000,000"	"1,359,029,123,389,530,000,000"	ASRock Incorporation		Compy386
B8E8562B9F94	192.168.100.147	general_purpose	laptop			"175,002,055,951,795"	"175,002,055,951,795"	"Apple, Inc."		MACBOOKPRO9F94
4C664122BCF9	192.168.100.155	general_purpose	cellphones					SAMSUNG ELECTROMECHANICS(THAILAND)		SamsungGalaxyS7edge
94652DC64C40	192.168.100.162	general_purpose	laptop					"OnePlus Technology (Shenzhen) Co., Ltd"		MACBOOKPRO9F94
F45C89A8592D	192.168.100.171									
7C04D0BB707E	192.168.100.187	general_purpose	laptop					"Apple, Inc."		JibiaosAir
F82819B520FD	192.168.100.193					"4,439,039,131,947,530,000,000,000,000,000"	"443,903,913,194,753,000,000,000,000"			
F82819B520FD	192.168.100.193	general_purpose	laptop					Liteon Technology Corporation		LAPTOPV1U0S4R1
D07E3598C56F	192.168.100.197	general_purpose	laptop					Intel Corporate		DIPTI
60A44C8D2AD0	192.168.100.2					"33,945,473,999,818,000"	18017	ASUSTek COMPUTER INC.		
