Date,Time/Seq,SMAC,SIP,Sport,DMAC,DIP,Dport,Protocol,GoodBad,AllowBlock,Comments
20180408,1,D-LinkIn_c5:17:5a,,,IntelCor_c3:41:78,,,EAPOL,,1,Key (Message 2 of 4),Safe protocol
20180408,2,D-LinkIn_c5:17:5a,,,IntelCor_c3:41:78,,,EAPOL,,1,Key (Message 4 of 4),Safe protocol
20180408,9,,192.168.1.11,,,224.0.0.251,,MDNS,,1,Standard query response 0x0000 PTR _dhnap._tcp.local PTR D-Link DCH-S160 Configuration Utility._http._tcp.local PTR _http._tcp.local PTR D-Link HNAP Service._dhnap._tcp.local,Safe protocol
20180408,10,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query 0x0000 ANY D-Link HNAP Service._dhnap._tcp.local, ""QM"" question ANY dch175A.local, ""QM"" question ANY 11.192.168.1.in-addr.arpa, ""QM"" question ANY dch.local, ""QM"" question ANY a.5.7.1.5.c.e.f.f.f.0.2.2.7.e.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY D-Link DCH-S160 Configuration Utility._http._tcp.local, ""QM"" question A 192.168.1.11 PTR dch175A.local A 192.168.1.11 PTR dch.local AAAA fe80::6e72:20ff:fec5:175a PTR dch.local AAAA fe80::6e72:20ff:fec5:175a PTR dch175A.local SRV 0 0 80 dch.local TXT SRV 0 0 80 dch.local TXT",Safe protocol
20180408,11,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query 0x0000 ANY D-Link HNAP Service._dhnap._tcp.local, ""QM"" question ANY dch175A.local, ""QM"" question ANY 11.192.168.1.in-addr.arpa, ""QM"" question ANY dch.local, ""QM"" question ANY a.5.7.1.5.c.e.f.f.f.0.2.2.7.e.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY D-Link DCH-S160 Configuration Utility._http._tcp.local, ""QM"" question A 192.168.1.11 PTR dch175A.local A 192.168.1.11 PTR dch.local AAAA fe80::6e72:20ff:fec5:175a PTR dch.local AAAA fe80::6e72:20ff:fec5:175a PTR dch175A.local SRV 0 0 80 dch.local TXT SRV 0 0 80 dch.local TXT",Safe protocol
20180408,12,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query 0x0000 ANY D-Link HNAP Service._dhnap._tcp.local, ""QM"" question ANY dch175A.local, ""QM"" question ANY 11.192.168.1.in-addr.arpa, ""QM"" question ANY dch.local, ""QM"" question ANY a.5.7.1.5.c.e.f.f.f.0.2.2.7.e.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY D-Link DCH-S160 Configuration Utility._http._tcp.local, ""QM"" question A 192.168.1.11 PTR dch175A.local A 192.168.1.11 PTR dch.local AAAA fe80::6e72:20ff:fec5:175a PTR dch.local AAAA fe80::6e72:20ff:fec5:175a PTR dch175A.local SRV 0 0 80 dch.local TXT SRV 0 0 80 dch.local TXT",Safe protocol
20180408,14,,192.168.0.60,,,224.0.0.251,,MDNS,,1,Standard query response 0x0000 PTR _dhnap._tcp.local PTR D-Link DCH-S160 Configuration Utility._http._tcp.local PTR _http._tcp.local PTR D-Link HNAP Service._dhnap._tcp.local,Safe protocol
20180408,15,,192.168.0.60,,,224.0.0.251,,MDNS,,1,"Standard query 0x0000 ANY D-Link HNAP Service._dhnap._tcp.local, ""QM"" question ANY dch175A.local, ""QM"" question ANY 60.0.168.192.in-addr.arpa, ""QM"" question ANY dch.local, ""QM"" question ANY a.5.7.1.5.c.e.f.f.f.0.2.2.7.e.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY D-Link DCH-S160 Configuration Utility._http._tcp.local, ""QM"" question A 192.168.0.60 PTR dch175A.local A 192.168.0.60 PTR dch.local AAAA fe80::6e72:20ff:fec5:175a PTR dch.local AAAA fe80::6e72:20ff:fec5:175a PTR dch175A.local SRV 0 0 80 dch.local TXT SRV 0 0 80 dch.local TXT",Safe protocol
20180408,16,,192.168.0.60,,,224.0.0.251,,MDNS,,1,Standard query response 0x0000 PTR _dhnap._tcp.local PTR D-Link HNAP Service._dhnap._tcp.local,Safe protocol
20180408,17,,192.168.0.60,,,224.0.0.251,,MDNS,,1,Standard query response 0x0000 PTR _http._tcp.local PTR D-Link DCH-S160 Configuration Utility._http._tcp.local,Safe protocol
20180408,20,,192.168.0.60,,,224.0.0.251,,MDNS,,1,"Standard query 0x0000 ANY a.5.7.1.5.c.e.f.f.f.0.2.2.7.e.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY dch175A.local, ""QM"" question ANY 60.0.168.192.in-addr.arpa, ""QM"" question ANY dch.local, ""QM"" question A 192.168.0.60 PTR dch175A.local A 192.168.0.60 PTR dch.local AAAA fe80::6e72:20ff:fec5:175a PTR dch175A.local AAAA fe80::6e72:20ff:fec5:175a PTR dch.local",Safe protocol
20180408,21,D-LinkIn_c5:17:5a,,,Broadcast,,,XID,,1,Basic Format; Type 1 LLC (Class I LLC); Window Size 0,Safe protocol
20180408,22,D-LinkIn_c5:17:5a,,,IntelCor_c3:41:78,,,EAPOL,,1,Key (Message 2 of 4),Safe protocol
20180408,23,D-LinkIn_c5:17:5a,,,IntelCor_c3:41:78,,,EAPOL,,1,Key (Message 4 of 4),Safe protocol
20180408,24,,192.168.0.60,,,224.0.0.251,,MDNS,,1,"Standard query response 0x0000 PTR, cache flush dch.local A, cache flush 192.168.0.60 PTR, cache flush dch175A.local PTR, cache flush dch.local AAAA, cache flush fe80::6e72:20ff:fec5:175a AAAA, cache flush fe80::6e72:20ff:fec5:175a PTR, cache flush dch175A.local",Safe protocol
20180408,25,,192.168.0.60,,,224.0.0.251,,MDNS,,1,"Standard query response 0x0000 A, cache flush 192.168.0.60",Safe protocol
20180408,26,D-LinkIn_c5:17:5a,,,Broadcast,,,ARP,,1,Who has 192.168.0.80? Tell 192.168.0.60,Safe protocol
20180408,27,,192.168.0.60,,,224.0.0.251,,MDNS,,1,"Standard query response 0x0000 TXT, cache flush PTR D-Link HNAP Service._dhnap._tcp.local SRV, cache flush 0 0 80 dch.local AAAA, cache flush fe80::6e72:20ff:fec5:175a A, cache flush 192.168.0.60 TXT, cache flush PTR _dhnap._tcp.local PTR D-Link DCH-S160 Configuration Utility._http._tcp.local SRV, cache flush 0 0 80 dch.local PTR _http._tcp.local",Safe protocol
20180408,28,D-LinkIn_c5:17:5a,,,Broadcast,,,ARP,,1,Who has 192.168.0.80? Tell 192.168.0.60,Safe protocol
20180408,29,D-LinkIn_c5:17:5a,,,Broadcast,,,ARP,,1,Who has 192.168.0.80? Tell 192.168.0.60,Safe protocol
20180408,33,,192.168.1.11,,,224.0.0.251,,MDNS,,1,Standard query response 0x0000 PTR _dhnap._tcp.local PTR D-Link DCH-S160 Configuration Utility._http._tcp.local PTR _http._tcp.local PTR D-Link HNAP Service._dhnap._tcp.local,Safe protocol
20180408,34,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query 0x0000 ANY D-Link HNAP Service._dhnap._tcp.local, ""QM"" question ANY dch175A.local, ""QM"" question ANY 11.192.168.1.in-addr.arpa, ""QM"" question ANY dch.local, ""QM"" question ANY a.5.7.1.5.c.e.f.f.f.0.2.2.7.e.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY D-Link DCH-S160 Configuration Utility._http._tcp.local, ""QM"" question A 192.168.1.11 PTR dch175A.local A 192.168.1.11 PTR dch.local AAAA fe80::6e72:20ff:fec5:175a PTR dch.local AAAA fe80::6e72:20ff:fec5:175a PTR dch175A.local SRV 0 0 80 dch.local TXT SRV 0 0 80 dch.local TXT",Safe protocol
20180408,35,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query 0x0000 ANY D-Link HNAP Service._dhnap._tcp.local, ""QM"" question ANY dch175A.local, ""QM"" question ANY 11.192.168.1.in-addr.arpa, ""QM"" question ANY dch.local, ""QM"" question ANY a.5.7.1.5.c.e.f.f.f.0.2.2.7.e.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY D-Link DCH-S160 Configuration Utility._http._tcp.local, ""QM"" question A 192.168.1.11 PTR dch175A.local A 192.168.1.11 PTR dch.local AAAA fe80::6e72:20ff:fec5:175a PTR dch.local AAAA fe80::6e72:20ff:fec5:175a PTR dch175A.local SRV 0 0 80 dch.local TXT SRV 0 0 80 dch.local TXT",Safe protocol
20180408,36,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query 0x0000 ANY D-Link HNAP Service._dhnap._tcp.local, ""QM"" question ANY dch175A.local, ""QM"" question ANY 11.192.168.1.in-addr.arpa, ""QM"" question ANY dch.local, ""QM"" question ANY a.5.7.1.5.c.e.f.f.f.0.2.2.7.e.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY D-Link DCH-S160 Configuration Utility._http._tcp.local, ""QM"" question A 192.168.1.11 PTR dch175A.local A 192.168.1.11 PTR dch.local AAAA fe80::6e72:20ff:fec5:175a PTR dch.local AAAA fe80::6e72:20ff:fec5:175a PTR dch175A.local SRV 0 0 80 dch.local TXT SRV 0 0 80 dch.local TXT",Safe protocol
20180408,37,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query response 0x0000 TXT, cache flush A, cache flush 192.168.1.11 PTR, cache flush dch175A.local A, cache flush 192.168.1.11 PTR, cache flush dch.local AAAA, cache flush fe80::6e72:20ff:fec5:175a PTR, cache flush dch.local AAAA, cache flush fe80::6e72:20ff:fec5:175a PTR, cache flush dch175A.local SRV, cache flush 0 0 80 dch.local TXT, cache flush SRV, cache flush 0 0 80 dch.local",Safe protocol
20180408,38,,192.168.1.11,,,224.0.0.251,,MDNS,,1,Standard query response 0x0000 PTR _dhnap._tcp.local PTR D-Link DCH-S160 Configuration Utility._http._tcp.local PTR _http._tcp.local PTR D-Link HNAP Service._dhnap._tcp.local,Safe protocol
20180408,39,D-LinkIn_c5:17:5a,,,Broadcast,,,ARP,,1,Who has 192.168.1.1? Tell 192.168.1.11,Safe protocol
20180408,40,DavidEle_06:08:ba,,,D-LinkIn_c5:17:5a,,,ARP,,1,192.168.1.1 is at 00:b5:6d:06:08:ba,Safe protocol
20180408,41,,192.168.1.11,,,192.168.1.1,,DNS,,1,Standard query 0x0002 AAAA wrpd.dlink.com,Safe protocol
20180408,42,,192.168.1.1,,,192.168.1.11,,DNS,,1,Standard query response 0x0002 AAAA wrpd.dlink.com CNAME dualstack.ipv6-1927743757.us-west-2.elb.amazonaws.com AAAA 2620:108:700f::36f4:e8b7 AAAA 2620:108:700f::3270:7d1a NS ns-1769.awsdns-29.co.uk NS ns-332.awsdns-41.com NS ns-560.awsdns-06.net NS ns-1475.awsdns-56.org A 205.251.193.76 A 205.251.194.48 A 205.251.197.195 A 205.251.198.233,Safe protocol
20180408,43,,192.168.1.11,,,192.168.1.1,,DNS,,1,Standard query 0x0003 AAAA dualstack.ipv6-1927743757.us-west-2.elb.amazonaws.com,Safe protocol
20180408,44,,192.168.1.1,,,192.168.1.11,,DNS,,1,Standard query response 0x0003 AAAA dualstack.ipv6-1927743757.us-west-2.elb.amazonaws.com AAAA 2620:108:700f::3270:7d1a AAAA 2620:108:700f::36f4:e8b7,Safe protocol
20180408,45,,192.168.1.11,,,192.168.1.1,,DNS,,1,Standard query 0x0004 A wrpd.dlink.com,Safe protocol
20180408,46,,192.168.1.1,,,192.168.1.11,,DNS,,1,Standard query response 0x0004 A wrpd.dlink.com CNAME dualstack.ipv6-1927743757.us-west-2.elb.amazonaws.com A 50.112.125.26 A 54.244.232.183 NS ns-332.awsdns-41.com NS ns-560.awsdns-06.net NS ns-1769.awsdns-29.co.uk NS ns-1475.awsdns-56.org A 205.251.193.76 A 205.251.194.48 A 205.251.197.195 A 205.251.198.233,Safe protocol
20180408,47,,192.168.1.11,,,50.112.125.26,,TCP,,1,47407  >  80 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=4294934999 TSecr=0 WS=2,source ip is relatively new
20180408,48,,50.112.125.26,,,192.168.1.11,,TCP,,1,"80  >  47407 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1380 SACK_PERM=1 TSval=754399564 TSecr=4294934999 WS=256",source ip is relatively new
20180408,49,,192.168.1.11,,,50.112.125.26,,TCP,,1,47407  >  80 [ACK] Seq=1 Ack=1 Win=5840 Len=0 TSval=4294935041 TSecr=754399564,source ip is relatively new
20180408,50,,192.168.1.11,,,50.112.125.26,,HTTP,,1,GET /router/firmware/query.aspx?model=DCH-S160_Ax_Default_FW_0120_6C7220C5175A HTTP/1.1 ,source ip is relatively new
20180408,51,,50.112.125.26,,,192.168.1.11,,TCP,,1,80  >  47407 [ACK] Seq=1 Ack=138 Win=15616 Len=0 TSval=754399606 TSecr=4294935041,source ip is relatively new
20180408,52,,50.112.125.26,,,192.168.1.11,,HTTP,,1,HTTP/1.1 404 Not Found  (text/plain),source ip is relatively new
20180408,53,,192.168.1.11,,,50.112.125.26,,TCP,,1,47407  >  80 [ACK] Seq=138 Ack=202 Win=5840 Len=0 TSval=4294935084 TSecr=754399606,source ip is relatively new
20180408,54,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query response 0x0000 TXT, cache flush A, cache flush 192.168.1.11 A, cache flush 192.168.1.11 PTR, cache flush dch175A.local PTR, cache flush dch.local AAAA, cache flush fe80::6e72:20ff:fec5:175a AAAA, cache flush fe80::6e72:20ff:fec5:175a PTR, cache flush dch175A.local PTR, cache flush dch.local SRV, cache flush 0 0 80 dch.local TXT, cache flush SRV, cache flush 0 0 80 dch.local",Safe protocol
20180408,55,,192.168.1.11,,,192.168.1.1,,DNS,,1,Standard query 0x0002 A ntp1.dlink.com,Safe protocol
20180408,56,,192.168.1.1,,,192.168.1.11,,DNS,,1,Standard query response 0x0002 A ntp1.dlink.com A 54.186.215.173 A 54.86.11.193 NS ns2.p13.dynect.net NS ns3.p13.dynect.net NS ns4.p13.dynect.net NS ns1.p13.dynect.net A 208.78.70.13 A 204.13.250.13 A 208.78.71.13 A 204.13.251.13,Safe protocol
20180408,57,,192.168.1.11,,,54.186.215.173,,NTP,,1,"NTP Version 3, client",source ip is relatively new
20180408,58,,192.168.1.11,,,50.112.125.26,,TCP,,1,"47407  >  80 [FIN, ACK] Seq=138 Ack=202 Win=5840 Len=0 TSval=4294935296 TSecr=754399606",source ip is relatively new
20180408,59,,54.186.215.173,,,192.168.1.11,,NTP,,1,"NTP Version 3, server",source ip is relatively new
20180408,60,,50.112.125.26,,,192.168.1.11,,TCP,,1,"80  >  47407 [FIN, ACK] Seq=202 Ack=139 Win=15616 Len=0 TSval=754399860 TSecr=4294935296",source ip is relatively new
20180408,61,,192.168.1.11,,,50.112.125.26,,TCP,,1,47407  >  80 [ACK] Seq=139 Ack=203 Win=5840 Len=0 TSval=4294935338 TSecr=754399860,source ip is relatively new
